Unnamed: 0,user_id,result,visual_authenticity_result,image_integrity_result,face_detection_result,image_quality_result,created_at,supported_document_result,conclusive_document_quality_result,colour_picture_result,data_validation_result,data_consistency_result,data_comparison_result,attempt_id,police_record_result,compromised_document_result,properties,sub_result
,,,,,,,,,,,,,,,,,,
27241,8190909e566647a5b6afeee9b4ec6c6a,clear,clear,clear,clear,clear,25/5/2017 8:38,clear,,,clear,,clear,30e11e95e30748f485a2271ca5e6abb8,clear,,"{'gender': 'Female', 'document_type': 'driving_licence', 'date_of_expiry': '2023-12-05', 'issuing_country': 'GBR'}",clear
,,,,,,,,,,,,,,,,,,
28369,6b62136dfde348a99855e350294aaf5d,clear,clear,clear,clear,clear,31/5/2017 8:12,clear,,,clear,,clear,4c0bfde8eb2249ed820e1f61d3ec3e33,clear,,"{'gender': 'Male', 'document_type': 'driving_licence', 'date_of_expiry': '2020-05-13', 'issuing_country': 'GBR'}",clear
,,,,,,,,,,,,,,,,,,
27988,73679363dccc46fa9f34a4fefd0d76e3,clear,clear,clear,clear,clear,29/5/2017 15:07,clear,,,clear,clear,clear,c5004fd1fc1d4e36a11433b70d960867,clear,,"{'gender': 'Male', 'nationality': 'GBR', 'document_type': 'passport', 'date_of_expiry': '2023-11-15', 'issuing_country': 'GBR'}",clear
,,,,,,,,,,,,,,,,,,
27529,07857065dfa64db386739ec4fff47856,consider,clear,clear,clear,clear,26/5/2017 19:00,clear,,,clear,clear,consider,e4b26d4ddda545c9931a0a845cd65109,clear,,"{'gender': 'Male', 'nationality': 'PER', 'document_type': 'passport', 'date_of_expiry': '2021-01-27', 'issuing_country': 'PER'}",caution
,,,,,,,,,,,,,,,,,,
47987,9f887805b2af49069349ff107e0bca01,clear,clear,clear,clear,clear,29/5/2017 14:38,clear,,,clear,clear,clear,8ead2b23ef664e4d85fae798a7d5d52c,clear,,"{'gender': 'Male', 'issuing_date': '2011-03', 'document_type': 'national_identity_card', 'issuing_country': 'FRA'}",clear
,,,,,,,,,,,,,,,,,,
27348,5b99f691404b43d2b7f3d933cb156e83,clear,clear,clear,clear,clear,25/5/2017 21:29,clear,,,clear,clear,clear,842000d3181b4655ac2b185c4b418a05,clear,,"{'gender': 'Female', 'nationality': 'FRA', 'document_type': 'passport', 'date_of_expiry': '2021-06-09', 'issuing_country': 'FRA'}",clear
,,,,,,,,,,,,,,,,,,
26991,229839c15da44e92a7cead07d5e9445a,clear,clear,clear,clear,clear,23/5/2017 19:17,clear,,,clear,clear,clear,7e1f08a82b9c4a2bbed0c41b02036950,clear,,"{'nationality': 'DEU', 'document_type': 'national_identity_card', 'date_of_expiry': '2020-11-19', 'issuing_country': 'DEU'}",clear
,,,,,,,,,,,,,,,,,,
28102,d6ce1578afc447298b931f26ce614d4c,clear,clear,clear,clear,clear,29/5/2017 22:13,clear,,,,,clear,d1e9e5ff5cd045649f6e98a4df2a33d5,,,"{'document_type': 'driving_licence', 'issuing_country': 'PRT'}",clear
,,,,,,,,,,,,,,,,,,
27666,0cc8a6d69b294606be9dd2375d8794f0,clear,clear,clear,clear,clear,27/5/2017 15:57,clear,,,clear,clear,clear,9064e4e6f718447cbc7ea526a0d8c631,clear,,"{'gender': 'Female', 'nationality': 'ESP', 'document_type': 'national_identity_card', 'date_of_expiry': '2020-09-14', 'issuing_country': 'ESP'}",clear
,,,,,,,,,,,,,,,,,,
28459,8e071a86c8fc44f3bd58517ed6e06fa7,clear,clear,clear,clear,clear,31/5/2017 13:40,clear,,,clear,,clear,ccd1f000c90d4b8c95860eb9e62f34db,clear,,"{'gender': 'Male', 'document_type': 'driving_licence', 'date_of_expiry': '2020-07-16', 'issuing_country': 'GBR'}",clear
,,,,,,,,,,,,,,,,,,
55638,51e2adfacdca400384cf2f63aba15ad8,clear,clear,clear,clear,clear,29/5/2017 15:00,clear,,,,,clear,c2abad84549a49de8deb1175dd3e8209,clear,,"{'gender': 'Male', 'document_type': 'national_identity_card', 'date_of_expiry': '2021-09-22', 'issuing_country': 'CYP'}",clear
,,,,,,,,,,,,,,,,,,
42124,d172815735dc4c2facbdd07099d2ca97,clear,clear,clear,clear,clear,30/5/2017 20:40,clear,,,,,clear,2a4f17d375664323816752cc022f7125,clear,,"{'document_type': 'national_identity_card', 'issuing_country': 'GRC'}",clear
,,,,,,,,,,,,,,,,,,
27358,44850fa3fca24ee4a1bb6bee22d8d636,clear,clear,clear,clear,clear,25/5/2017 23:59,clear,,,clear,clear,clear,94803fa2d52d49b8baaf007d1fcd91a0,clear,,"{'gender': 'Male', 'nationality': 'PRT', 'document_type': 'national_identity_card', 'date_of_expiry': '2017-08-27', 'issuing_country': 'PRT'}",clear
,,,,,,,,,,,,,,,,,,
28477,a4878be5da1d4726a21d97183caf10b7,clear,clear,clear,clear,clear,31/5/2017 14:41,clear,,,clear,clear,clear,c6500da4eb104fa686a8e2a8989f9106,clear,,"{'gender': 'Female', 'nationality': 'ESP', 'document_type': 'passport', 'date_of_expiry': '2021-01-25', 'issuing_country': 'ESP'}",clear
,,,,,,,,,,,,,,,,,,
25420,6ab2234ffcfb446bb1ac2079f263cb65,clear,clear,clear,clear,clear,24/5/2017 20:00,clear,,,clear,,clear,b2452ab66b0a4e91b31a206aaf4075aa,,,"{'document_type': 'driving_licence', 'date_of_expiry': '2056-03-07', 'issuing_country': 'GRC'}",clear
,,,,,,,,,,,,,,,,,,
28519,9169edf362594ad1a212e5d78cfafa2e,clear,clear,clear,clear,clear,31/5/2017 17:58,clear,,,clear,clear,clear,e355db7ceb1944ae8b23ce3aa0e5103c,clear,,"{'gender': 'Female', 'nationality': 'ROU', 'document_type': 'national_identity_card', 'date_of_expiry': '2027-08-16', 'issuing_country': 'ROU'}",clear
,,,,,,,,,,,,,,,,,,
27171,3acc793cbc5e4726ada37dcc3327c819,clear,clear,clear,clear,clear,24/5/2017 18:31,clear,,,clear,clear,clear,39749e85b4e24a1396bd4837ca411fe0,clear,,"{'gender': 'Male', 'nationality': 'GBR', 'document_type': 'passport', 'date_of_expiry': '2020-05-07', 'issuing_country': 'GBR'}",clear
,,,,,,,,,,,,,,,,,,
27617,05047fe337484cc0b3a67ea4706f2af1,clear,clear,clear,clear,clear,27/5/2017 10:43,clear,,,clear,,clear,4eb3bdc9ad374f3a951b45bda77511c3,,,"{'document_type': 'driving_licence', 'date_of_expiry': '2028-03-25', 'issuing_country': 'DEU'}",clear
,,,,,,,,,,,,,,,,,,
47985,d9965b571af8452a97e636fd188f5b1d,clear,clear,clear,clear,clear,29/5/2017 14:37,clear,,,clear,clear,clear,03459e2380494e25a3b64899d3b3359c,clear,,"{'gender': 'Female', 'nationality': 'GBR', 'document_type': 'passport', 'date_of_expiry': '2025-07-23', 'issuing_country': 'GBR'}",clear
,,,,,,,,,,,,,,,,,,
27614,d63574e602c642ad9c73aae7b4d2f67e,clear,clear,clear,clear,clear,27/5/2017 10:23,clear,,,clear,clear,clear,aee6f00e8ca74497ae63738da01e593e,clear,,"{'gender': 'Female', 'nationality': 'GBR', 'document_type': 'passport', 'date_of_expiry': '2023-06-04', 'issuing_country': 'GBR'}",clear
,,,,,,,,,,,,,,,,,,
27521,75ff36bedb0e474e9333d1c39748362d,clear,clear,clear,clear,clear,26/5/2017 18:43,clear,,,clear,clear,clear,9062cf379b9343899e52b1f38ef942d0,clear,,"{'gender': 'Male', 'issuing_date': '2009-03', 'document_type': 'national_identity_card', 'issuing_country': 'FRA'}",clear
,,,,,,,,,,,,,,,,,,
